module,alpha,seed,n_iters,total_steps,train_return_late,train_return_early,train_return_delta,train_task_score,train_capture_rate,train_pursuer_dist,eval_return,eval_task_score,eval_capture,eval_pursuer_dist,explained_variance,entropy,policy_loss,value_loss,approx_kl,clipfrac,grad_norm,ratio0_max,ratio0_min,nan_count,cap_c1_participation,marginal_c1_rate,knn_c1_sighted_frac,dist_full_sight,dist_sensor_limited
attention_zm,0.75,0,625,2000000,103.75528094701228,-680.1798662293342,783.9351471763464,0.18028300048938026,0.9178427419354839,0.8930126210494388,74.51082584634423,0.16980077747069128,0.32,0.8845632841135375,0.951143394554815,0.7403868152249243,-0.00024685868298259797,0.0058507255721656545,0.0004694544912718575,0.0028897177422197587,0.18952690771510525,1.0,1.0,0,0.3365524193548387,0.23432459677419357,0.9374373983663895,2.6471575284677167,1.224227784074122
attention_zm,0.75,1,625,2000000,102.16376660499841,-609.1484568195958,711.3122234245942,0.17992004293075484,0.9203629032258065,0.8704128312812218,368.6963292732835,0.3447772113542754,0.495,0.4360386216337792,0.946339076565158,0.7032413930662216,-0.000244063122547587,0.006197370244790898,0.0003859870825414522,0.0026159274206116545,0.16196268184651283,1.0,1.0,0,0.3336239919354839,0.2335131048387097,0.9364127735168704,2.6589440404960225,1.1908248908228936
attention_zm,0.75,2,625,2000000,140.52510599022912,-618.9754908161779,759.500596806407,0.1987143617198485,0.9400201612903226,0.85992747144353,481.9338669292629,0.37828717518425037,0.60125,0.5895178146072431,0.9457272050842163,0.6674572225539913,-0.0002241673998007874,0.004560214438055025,0.00026186535387693276,0.0015029233882511732,0.12334013428058353,1.0,1.0,0,0.36643145161290336,0.2563608870967742,0.939048862245775,2.4804675246823216,1.193443432656988
attention_zm,0.75,3,625,2000000,85.22045141650784,-679.2274304897554,764.4478819062633,0.17318257174747936,0.9092741935483871,0.9122839186653015,265.59603083878756,0.19766666211903502,0.49,1.4789620331622428,0.9498883831885553,0.7790678947202622,-0.00023455272805243595,0.005137514307974763,0.00031041690136650036,0.002000655237621175,0.1490426545782435,1.0,1.0,0,0.32679939516129036,0.22891129032258065,0.938180485502366,2.725465721199589,1.2706576514808883
attention_zm,0.75,4,625,2000000,146.2517927072702,-591.5724044769041,737.8241971841743,0.2018533097330739,0.9465725806451613,0.8347714563266885,-58.684115529060364,0.133626530983307,0.225,0.6838199702952988,0.9544561822568217,0.6835101115126763,-0.0002263478807126327,0.004268724858505416,0.00027801528027855915,0.0014627016164482157,0.11000908152951346,1.0,1.0,0,0.36650201612903227,0.2559576612903226,0.935694167229437,2.5028127834561373,1.1621582377089126
attention_zm,1.0,0,625,2000000,78.28461613193635,-691.1626589990432,769.4472751309795,0.1669993796475499,0.8765120967741935,0.9244420756063154,62.0281033590436,0.1668625500860927,0.32,0.9178041894035414,0.9542497204196069,0.742531343717729,-0.00023976343800660688,0.005860671733746317,0.0003691899070970184,0.0026313508050083935,0.18798540156454804,1.0,1.0,0,0.316945564516129,0.22188004032258066,0.9371868224201663,2.717334796228717,1.2675345534999525
attention_zm,1.0,1,625,2000000,125.30769773740923,-613.4430036737073,738.7507014111166,0.19332466087681835,0.9324596774193549,0.8479488313101953,371.4094701372087,0.35340722688317844,0.495,0.40066200416535136,0.9496888883652226,0.7289442225810021,-0.00024309304334875877,0.005384705695999562,0.00042239019652502024,0.0031723790354589716,0.17761136832977495,1.0,1.0,0,0.3541129032258064,0.24832661290322583,0.9354702326174704,2.6325801567829417,1.1683546438032097
attention_zm,1.0,2,625,2000000,145.37569556553518,-632.110668974538,777.4863645400733,0.19987918254899717,0.936491935483871,0.8667991889316229,486.0472044683993,0.3781653369366735,0.605,0.599836605542805,0.944058270223679,0.6796756841482655,-0.0002504881206631391,0.004665750169735955,0.00042170748551608643,0.0027334677453132146,0.21519413066487159,1.0,1.0,0,0.37008568548387105,0.2594052419354839,0.9372782686256593,2.467991265217143,1.1951725478770756
attention_zm,1.0,3,625,2000000,117.75751555831202,-688.518874660615,806.276390218927,0.18726740818286963,0.9304435483870968,0.8801484333843955,268.0035606920719,0.1998677253915306,0.48874999999999996,1.4454287629039027,0.94874727053027,0.7136552508800258,-0.0002442365744990615,0.004277538902111187,0.0003932733072824323,0.002602217745492576,0.14951769048648492,1.0,1.0,0,0.34757056451612905,0.24349798387096777,0.9381113620054338,2.590661129295345,1.2176192739738092
attention_zm,1.0,4,625,2000000,136.51130769521959,-535.8524512629355,672.363758958155,0.19617851127570854,0.9420362903225806,0.8455916069423961,-65.31953386217356,0.1290605243746875,0.22125,0.7143421384296379,0.9465706098464227,0.6674193382263182,-0.00024997713373963007,0.005470305200545971,0.00037575095196233887,0.0019828629075662294,0.1415874476274175,1.0,1.0,0,0.35841733870967746,0.2505645161290323,0.9349978827276537,2.5165375185493497,1.173546123068419
