=============================
Job ID:       599229
Array Task:   13
Node:         evc39
GPU:          0
Start time:   Tue Apr 28 15:19:11 EDT 2026
=============================
Running: PCP HetNet r=1.5 s=1/i=3 --discrete
Using device: cpu
Env: PCP | 1S + 3I | world=5.0 | max_steps=80

  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6826 reward_global_std=0.2986
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6822 reward_min=-1.0544 reward_max=1.5661
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6822 reward_min=-1.0553 reward_max=1.5654
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6821 reward_min=-1.0565 reward_max=1.5653
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7090 reward_min=-1.2995 reward_max=1.5744
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6860 reward_global_std=0.3355
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6892 reward_min=-1.1239 reward_max=-0.3363
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6891 reward_min=-1.1230 reward_max=-0.3365
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6812 reward_min=-1.1209 reward_max=1.2822
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7297 reward_min=-1.2852 reward_max=1.5336
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6843 reward_global_std=0.3296
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6765 reward_min=-1.1251 reward_max=-0.2304
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6764 reward_min=-1.1251 reward_max=-0.2320
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6762 reward_min=-1.1258 reward_max=-0.2337
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.6877 reward_min=-1.4950 reward_max=1.6495
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6616 reward_global_std=0.3255
[HetNet] iter=40/1500 steps=10240/384000 | pi_s=-0.0003 pi_i=0.0000 v=166.5835 ent_s=1.580 ent_i=1.580 ret=-52.780 ev_s_post=-0.006 ev_i_post=-0.023 r_s=1.000 r_i=1.000 
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6634 reward_min=-1.0820 reward_max=-0.3339
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6633 reward_min=-1.0804 reward_max=-0.3323
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6633 reward_min=-1.0786 reward_max=-0.3300
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.6629 reward_min=-1.3437 reward_max=1.5994
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6546 reward_global_std=0.3537
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6933 reward_min=-1.1553 reward_max=-0.3333
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6932 reward_min=-1.1557 reward_max=-0.3340
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6931 reward_min=-1.1565 reward_max=-0.3350
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7360 reward_min=-1.3141 reward_max=1.5961
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6940 reward_global_std=0.2916
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6811 reward_min=-1.0820 reward_max=-0.3728
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6811 reward_min=-1.0823 reward_max=-0.3723
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6809 reward_min=-1.0826 reward_max=-0.3719
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7070 reward_min=-1.4281 reward_max=1.6023
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6652 reward_global_std=0.3692
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6840 reward_min=-1.0902 reward_max=-0.2678
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6841 reward_min=-1.0890 reward_max=-0.2662
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6839 reward_min=-1.0878 reward_max=-0.2642
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.6626 reward_min=-1.3400 reward_max=1.6137
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6413 reward_global_std=0.3829
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6743 reward_min=-1.0936 reward_max=-0.2753
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6742 reward_min=-1.0922 reward_max=-0.2752
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6740 reward_min=-1.0896 reward_max=-0.2752
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7131 reward_min=-1.4661 reward_max=1.4754
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6784 reward_global_std=0.3053
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6778 reward_min=-1.0419 reward_max=-0.3610
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6775 reward_min=-1.0408 reward_max=-0.3615
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6773 reward_min=-1.0389 reward_max=-0.3626
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.6802 reward_min=-1.4527 reward_max=1.6953
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6551 reward_global_std=0.3554
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6706 reward_min=-1.0149 reward_max=-0.3916
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6705 reward_min=-1.0131 reward_max=-0.3915
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6705 reward_min=-1.0135 reward_max=-0.3922
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7269 reward_min=-1.3378 reward_max=1.5128
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6818 reward_global_std=0.3264
