[setup] Required Python imports are available.
[setup] Required Python imports are available.
=== qmix_pcp_full task 4/70: identity seed4 (git 5e3950a) ===
Run dir: runs/qmix_pcp_full_20260627_165504/identity/seed4  Start: Sat Jun 27 16:55:04 EDT 2026
Sat Jun 27 16:55:04 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           Off |   00000000:D8:00.0 Off |                    0 |
| N/A   25C    P0             25W /  250W |       0MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[env] kind=pcp name=pcp n_agents=5 obs_dim=5 action_dim=5 state_dim=13 num_envs=32
[train] QMIX start: total_iters=62500 B=32 device=cuda:0 seed=4 warmup=5000 batch=256 target_update(updates)=200 render=off
step= 1220000 ep_ret=-34.350 eval_ret=-50.089 pursuer_target_distance=3.029 capture=0.003 cap=0.016 td_loss=1.0036 q_tot=+0.461 tgt=+0.462 gnorm=201.02 w_min=2.98e-08 eps=0.050 buf=100000 upd=37969 seed=4
step= 1240000 ep_ret=-31.424 eval_ret=-42.536 pursuer_target_distance=2.987 capture=0.004 cap=0.036 td_loss=1.0013 q_tot=+0.751 tgt=+0.746 gnorm=197.31 w_min=8.94e-08 eps=0.050 buf=100000 upd=38594 seed=4
step= 1260000 ep_ret=-47.871 eval_ret=+53.376 pursuer_target_distance=2.902 capture=0.005 cap=0.052 td_loss=1.0028 q_tot=+0.841 tgt=+0.843 gnorm=199.22 w_min=7.82e-08 eps=0.050 buf=100000 upd=39219 seed=4
step= 1280000 ep_ret=-9.098 eval_ret=-45.397 pursuer_target_distance=2.775 capture=0.005 cap=0.040 td_loss=0.9861 q_tot=+1.187 tgt=+1.186 gnorm=194.34 w_min=8.75e-08 eps=0.050 buf=100000 upd=39844 seed=4
step= 1300000 ep_ret=-36.886 eval_ret=+43.372 pursuer_target_distance=2.906 capture=0.003 cap=0.021 td_loss=0.9945 q_tot=+2.597 tgt=+2.597 gnorm=199.07 w_min=7.45e-09 eps=0.050 buf=100000 upd=40469 seed=4
step= 1320000 ep_ret=-26.582 eval_ret=-41.009 pursuer_target_distance=2.921 capture=0.004 cap=0.026 td_loss=0.9351 q_tot=+2.717 tgt=+2.718 gnorm=191.20 w_min=1.49e-08 eps=0.050 buf=100000 upd=41094 seed=4
step= 1340000 ep_ret=-31.186 eval_ret=-50.188 pursuer_target_distance=2.900 capture=0.008 cap=0.052 td_loss=0.9739 q_tot=+2.396 tgt=+2.396 gnorm=205.36 w_min=5.96e-08 eps=0.050 buf=100000 upd=41719 seed=4
step= 1360000 ep_ret=-31.428 eval_ret=-42.079 pursuer_target_distance=2.674 capture=0.004 cap=0.036 td_loss=1.0513 q_tot=+2.099 tgt=+2.095 gnorm=231.45 w_min=4.47e-08 eps=0.050 buf=100000 upd=42344 seed=4
step= 1380000 ep_ret=-12.771 eval_ret=-46.841 pursuer_target_distance=2.692 capture=0.006 cap=0.031 td_loss=1.0437 q_tot=+2.047 tgt=+2.042 gnorm=217.00 w_min=1.27e-07 eps=0.050 buf=100000 upd=42969 seed=4
step= 1400000 ep_ret=-27.618 eval_ret=-56.381 pursuer_target_distance=2.945 capture=0.002 cap=0.031 td_loss=1.0886 q_tot=+2.678 tgt=+2.675 gnorm=245.83 w_min=1.30e-08 eps=0.050 buf=100000 upd=43594 seed=4
step= 1420000 ep_ret=-32.030 eval_ret=-51.826 pursuer_target_distance=2.972 capture=0.002 cap=0.021 td_loss=1.0399 q_tot=+3.302 tgt=+3.300 gnorm=241.97 w_min=5.96e-08 eps=0.050 buf=100000 upd=44219 seed=4
step= 1440000 ep_ret=-27.691 eval_ret=-42.675 pursuer_target_distance=3.064 capture=0.004 cap=0.027 td_loss=1.0119 q_tot=+2.193 tgt=+2.192 gnorm=242.23 w_min=7.45e-09 eps=0.050 buf=100000 upd=44844 seed=4
step= 1460000 ep_ret=-35.466 eval_ret=-46.465 pursuer_target_distance=3.268 capture=0.004 cap=0.042 td_loss=0.9174 q_tot=+2.363 tgt=+2.359 gnorm=221.28 w_min=6.71e-08 eps=0.050 buf=100000 upd=45469 seed=4
step= 1480000 ep_ret=-33.077 eval_ret=-51.573 pursuer_target_distance=2.850 capture=0.002 cap=0.016 td_loss=0.8966 q_tot=+2.413 tgt=+2.413 gnorm=227.58 w_min=1.34e-07 eps=0.050 buf=100000 upd=46094 seed=4
step= 1500000 ep_ret=-31.663 eval_ret=-43.373 pursuer_target_distance=2.930 capture=0.002 cap=0.031 td_loss=0.8470 q_tot=+2.914 tgt=+2.913 gnorm=222.93 w_min=1.49e-08 eps=0.050 buf=100000 upd=46719 seed=4
step= 1520000 ep_ret=-31.058 eval_ret=-45.617 pursuer_target_distance=2.672 capture=0.001 cap=0.018 td_loss=0.8078 q_tot=+2.519 tgt=+2.519 gnorm=222.18 w_min=4.47e-08 eps=0.050 buf=100000 upd=47344 seed=4
step= 1540000 ep_ret=-25.815 eval_ret=-46.040 pursuer_target_distance=2.794 capture=0.004 cap=0.026 td_loss=0.7960 q_tot=+3.524 tgt=+3.523 gnorm=215.34 w_min=5.96e-08 eps=0.050 buf=100000 upd=47969 seed=4
step= 1560000 ep_ret=-34.471 eval_ret=-53.013 pursuer_target_distance=2.916 capture=0.003 cap=0.031 td_loss=0.7798 q_tot=+4.309 tgt=+4.311 gnorm=244.35 w_min=9.31e-09 eps=0.050 buf=100000 upd=48594 seed=4
step= 1580000 ep_ret=-28.308 eval_ret=-47.647 pursuer_target_distance=2.726 capture=0.005 cap=0.036 td_loss=0.8346 q_tot=+4.856 tgt=+4.854 gnorm=237.19 w_min=2.49e-08 eps=0.050 buf=100000 upd=49219 seed=4
step= 1600000 ep_ret=-30.729 eval_ret=-58.439 pursuer_target_distance=2.798 capture=0.008 cap=0.054 td_loss=0.9382 q_tot=+5.105 tgt=+5.101 gnorm=253.62 w_min=5.96e-08 eps=0.050 buf=100000 upd=49844 seed=4
step= 1620000 ep_ret=-19.918 eval_ret=-40.497 pursuer_target_distance=2.932 capture=0.003 cap=0.042 td_loss=1.0335 q_tot=+6.123 tgt=+6.129 gnorm=262.52 w_min=1.49e-08 eps=0.050 buf=100000 upd=50469 seed=4
